true_emotion,predicted_instead_or_extra,count,true_support,rate_within_true_label,rare_true_label
anger,grief,1,437,0.002288329519450801,False
anger,nervousness,1,437,0.002288329519450801,False
anger,pride,1,437,0.002288329519450801,False
optimism,disgust,1,454,0.0022026431718061676,False
optimism,nervousness,1,454,0.0022026431718061676,False
optimism,remorse,1,454,0.0022026431718061676,False
joy,relief,1,461,0.0021691973969631237,False
joy,remorse,1,461,0.0021691973969631237,False
love,anger,1,479,0.0020876826722338203,False
love,annoyance,1,479,0.0020876826722338203,False
love,disgust,1,479,0.0020876826722338203,False
love,nervousness,1,479,0.0020876826722338203,False
love,realization,1,479,0.0020876826722338203,False
amusement,relief,1,541,0.0018484288354898336,False
curiosity,caring,1,552,0.0018115942028985507,False
curiosity,remorse,1,552,0.0018115942028985507,False
disapproval,desire,1,632,0.0015822784810126582,False
disapproval,nervousness,1,632,0.0015822784810126582,False
disapproval,relief,1,632,0.0015822784810126582,False
annoyance,pride,1,670,0.0014925373134328358,False
gratitude,annoyance,1,671,0.0014903129657228018,False
gratitude,confusion,1,671,0.0014903129657228018,False
gratitude,disapproval,1,671,0.0014903129657228018,False
gratitude,grief,1,671,0.0014903129657228018,False
gratitude,surprise,1,671,0.0014903129657228018,False
approval,nervousness,1,999,0.001001001001001001,False
admiration,grief,1,1026,0.0009746588693957114,False
neutral,pride,1,2116,0.0004725897920604915,False
